symbol,symboltoken,pdh,pdl,dir,open,perc,is_gap,min,max,o_qty,ltp
PHOENIXLTD-EQ,14552.0,1558.55,1522.05,-1,1545.1,-0.0149,False,1522.05,1558.55,64,1554.45
GMRINFRA-EQ,13528.0,43.3,42.4,1,42.65,-0.015,False,42.4,43.3,2344,43.0
KANSAINER-EQ,1196.0,461.0,453.05,-1,459.95,-0.015,False,453.05,461.0,217,460.45
UNOMINDA-EQ,14154.0,583.75,571.5,1,575.0,-0.015,False,571.5,583.75,173,577.0
WELSPUNIND-EQ,11253.0,95.05,93.0,1,93.6,-0.0153,False,93.0,95.05,1068,93.2
FEDERALBNK-EQ,1023.0,124.25,121.65,1,122.35,-0.0153,False,121.65,124.25,817,122.6
HEG-EQ,1336.0,1624.0,1586.1,1,1598.95,-0.0154,False,1586.1,1624.0,62,1599.4
NIACL-EQ,399.0,119.8,116.9,1,117.95,-0.0154,False,116.9,119.8,847,117.6
JAMNAAUTO-EQ,20778.0,104.0,101.15,1,102.4,-0.0154,False,101.15,104.0,976,101.9
SONATSOFTW-EQ,6596.0,1030.0,1000.2,-1,1016.0,-0.0156,False,1000.2,1030.0,98,1020.35
PFIZER-EQ,2643.0,3845.0,3790.0,-1,3850.0,-0.0156,False,3790.0,3850.0,25,3859.9
CENTRALBK-EQ,14894.0,28.9,28.2,1,28.45,-0.0156,False,28.2,28.9,3514,28.45
MOTHERSON-EQ,4204.0,86.4,84.55,-1,85.9,-0.0157,False,84.55,86.4,1164,85.65
JUBLFOOD-EQ,18096.0,501.15,487.3,-1,495.1,-0.0158,False,487.3,501.15,201,496.5
PATANJALI-BE,17030.0,1193.7,1171.2,-1,1190.0,-0.0158,False,1171.2,1193.7,84,1190.0
ICICIPRULI-EQ,18652.0,583.3,571.35,1,574.0,-0.0159,False,571.35,583.3,174,567.1
ROUTE-EQ,128.0,1622.0,1586.05,1,1596.1,-0.016,False,1586.05,1622.0,62,1607.5
IPCALAB-EQ,1633.0,748.0,734.1,-1,746.0,-0.016,False,734.1,748.0,134,747.65
DEEPAKNTR-EQ,19943.0,2215.9,2172.5,1,2180.15,-0.0161,False,2172.5,2215.9,45,2184.9
SUPRAJIT-EQ,11689.0,400.1,390.4,1,393.65,-0.0161,False,390.4,400.1,254,392.9
BORORENEW-EQ,3149.0,515.3,505.0,1,506.95,-0.0162,False,505.0,515.3,197,509.05
LTIM-EQ,17818.0,5210.0,5063.05,1,5125.0,-0.0163,False,5063.05,5210.0,19,5126.05
MGL-EQ,17534.0,1052.4,1028.2,1,1035.1,-0.0164,False,1028.2,1052.4,96,1043.45
POWERINDIA-EQ,18457.0,4207.95,4109.0,1,4138.55,-0.0165,False,4109.0,4207.95,24,4174.1
COALINDIA-EQ,20374.0,227.65,224.15,-1,227.9,-0.0165,False,224.15,227.9,438,227.25
SWSOLAR-EQ,12489.0,295.9,288.05,1,291.0,-0.0166,False,288.05,295.9,343,292.45
NUVOCO-EQ,5426.0,349.5,342.05,1,343.7,-0.0166,False,342.05,349.5,290,344.75
KRBL-EQ,10577.0,350.65,343.1,1,344.8,-0.0167,False,343.1,350.65,290,345.35
PGHH-EQ,2535.0,14505.0,14255.3,-1,14496.8,-0.0167,False,14255.3,14505.0,6,14415.4
ORIENTELEC-EQ,2972.0,238.0,232.0,1,234.0,-0.0168,False,232.0,238.0,427,233.25
KIMS-EQ,4847.0,1825.0,1780.0,1,1794.3,-0.0168,False,1780.0,1825.0,55,1796.45
CYIENT-EQ,5748.0,1488.9,1456.05,1,1463.8,-0.0169,False,1456.05,1488.9,68,1485.0
CANFINHOME-EQ,583.0,799.5,778.95,1,785.95,-0.0169,False,778.95,799.5,127,784.95
GODREJPROP-EQ,17875.0,1595.3,1563.15,-1,1590.0,-0.0169,False,1563.15,1595.3,62,1588.75
BLUESTARCO-EQ,8311.0,781.5,765.0,1,768.3,-0.0169,False,765.0,781.5,130,769.65
SBICARD-EQ,17971.0,874.7,851.75,1,859.9,-0.0169,False,851.75,874.7,116,857.45
PIIND-EQ,24184.0,3908.9,3831.1,-1,3897.5,-0.017,False,3831.1,3908.9,25,3886.3
CUB-EQ,5701.0,125.65,122.6,1,123.5,-0.0171,False,122.6,125.65,809,123.4
ZENSARTECH-EQ,1076.0,389.95,380.55,1,383.2,-0.0173,False,380.55,389.95,260,389.9
LALPATHLAB-EQ,11654.0,2248.9,2195.15,1,2209.9,-0.0173,False,2195.15,2248.9,45,2240.0
AMARAJABAT-EQ,100.0,660.45,648.5,-1,660.0,-0.0174,False,648.5,660.45,151,658.05
TATACOMM-EQ,3721.0,1592.0,1560.4,-1,1588.0,-0.0174,False,1560.4,1592.0,62,1517.0
ACC-EQ,22.0,1826.9,1788.0,-1,1819.95,-0.0176,False,1788.0,1826.9,54,1820.2
OFSS-EQ,10738.0,3850.0,3782.3,-1,3850.0,-0.0176,False,3782.3,3850.0,25,3834.6
MRPL-EQ,2283.0,79.4,77.2,1,78.0,-0.0176,False,77.2,79.4,1282,77.5
TRIDENT-EQ,9685.0,34.1,33.3,1,33.5,-0.0176,False,33.3,34.1,2985,33.55
HAL-EQ,2303.0,3745.0,3666.0,-1,3731.9,-0.0177,False,3666.0,3745.0,26,3736.95
IEX-EQ,220.0,129.3,126.2,1,127.0,-0.0178,False,126.2,129.3,787,127.35
WHIRLPOOL-EQ,18011.0,1476.5,1451.8,1,1450.15,-0.0178,False,1450.15,1476.5,68,1465.0
CONCOR-EQ,4749.0,658.3,646.25,-1,658.0,-0.0179,False,646.25,658.3,151,658.0
RADICO-EQ,10990.0,1235.15,1205.5,1,1213.0,-0.0179,False,1205.5,1235.15,82,1217.65
JINDWORLD-EQ,20642.0,320.75,312.7,1,314.95,-0.0181,False,312.7,320.75,317,316.3
BPCL-EQ,526.0,366.8,359.2,-1,365.85,-0.0182,False,359.2,366.8,273,366.4
EIDPARRY-EQ,916.0,472.6,463.0,1,464.0,-0.0182,False,463.0,472.6,215,466.7
YESBANK-EQ,11915.0,16.35,15.95,-1,16.25,-0.0185,False,15.95,16.35,6153,16.3
BHARTIARTL-EQ,10604.0,873.6,863.6,-1,880.0,-0.0186,False,863.6,880.0,113,873.5
GAEL-EQ,8828.0,244.75,239.5,1,240.15,-0.0188,False,239.5,244.75,416,239.45
RELIANCE-EQ,2885.0,2537.85,2497.85,-1,2546.4,-0.0191,False,2497.85,2546.4,39,2543.6
INDUSINDBK-EQ,5258.0,1346.95,1316.25,-1,1341.9,-0.0191,False,1316.25,1346.95,74,1340.55
SUNDRMFAST-EQ,3345.0,1216.05,1190.55,-1,1213.85,-0.0192,False,1190.55,1216.05,82,1213.2
HGS-EQ,14712.0,1089.95,1065.1,1,1069.05,-0.0192,False,1065.1,1089.95,93,1075.25
LXCHEM-EQ,2841.0,266.85,260.0,1,261.7,-0.0193,False,260.0,266.85,382,262.65
GODREJIND-EQ,10925.0,515.0,500.15,1,505.0,-0.0194,False,500.15,515.0,198,507.55
JYOTHYLAB-EQ,15146.0,217.0,210.75,1,212.8,-0.0194,False,210.75,217.0,469,213.3
INTELLECT-EQ,5926.0,624.6,609.45,-1,621.6,-0.0195,False,609.45,624.6,160,626.4
AWL-EQ,8110.0,416.5,407.3,-1,415.4,-0.0195,False,407.3,416.5,240,417.1
TIINDIA-EQ,312.0,3213.9,3126.55,1,3150.9,-0.0196,False,3126.55,3213.9,31,3127.75
